,maxTemp_next,Temp20,AvgTemp,MinTemp,Temp12,Temp6,Months,Humid6,Humid12,WindDirn20,MaxPressure,AvgDirn,MaxSpeed,WinSpeed6,WinSpeed12,AvgSpeed
1791,20.69,23.92,20.39,15.84,18.91,17.62,8,60.0,77.0,80,1027.0,57.88,5,3,2,2.71
1792,26.15,19.0,19.0,17.99,19.08,18.14,8,68.0,72.0,70,1026.0,55.92,5,1,5,3.42
1793,27.92,26.15,20.41,17.0,17.58,17.25,8,93.0,82.0,286,1019.0,64.08,6,2,3,2.92
1794,22.83,24.83,22.3,17.53,19.15,19.09,8,72.0,72.0,0,1015.0,196.79,5,4,2,2.54
1795,19.75,22.33,18.54,13.58,14.17,16.99,9,55.0,54.0,280,1021.0,177.12,6,2,4,2.67
1796,22.33,19.75,16.38,12.07,13.83,13.52,9,44.0,62.0,90,1025.0,47.83,5,3,2,2.25
1797,27.72,21.83,17.93,15.18,16.83,15.84,9,93.0,93.0,280,1022.0,142.88,6,3,3,2.88
1798,30.17,27.72,21.17,15.99,17.91,17.3,9,77.0,77.0,0,1016.0,117.67,4,2,2,2.46
1799,24.66,30.08,24.24,19.76,21.66,20.84,9,77.0,83.0,170,1012.0,135.67,5,2,3,2.54
1800,23.27,18.09,20.57,17.88,21.5,21.15,9,73.0,88.0,340,1014.0,166.42,6,1,1,2.75
1801,22.73,23.27,19.0,16.36,16.82,17.45,9,93.0,87.0,0,1014.0,141.5,6,2,2,2.83
1802,21.36,22.41,18.75,13.91,16.0,16.41,9,77.0,72.0,270,1020.0,200.0,7,3,3,2.83
1803,23.36,21.0,17.27,12.58,14.08,13.99,9,67.0,67.0,0,1026.0,198.79,6,2,4,2.88
1804,25.66,23.33,17.71,12.74,15.25,13.74,9,77.0,72.0,0,1029.0,156.46,5,1,3,3.0
1805,26.99,25.66,18.29,12.23,12.23,14.24,9,59.0,76.0,327,1029.0,112.75,3,2,2,1.88
1806,27.72,26.99,20.45,14.51,15.56,16.14,9,68.0,82.0,280,1022.0,210.88,3,1,1,1.33
1807,27.58,24.41,21.35,15.74,18.18,17.53,9,77.0,72.0,270,1015.0,228.29,3,1,1,1.71
1808,27.82,27.09,23.74,21.58,21.72,21.58,9,88.0,94.0,0,1014.0,174.08,3,1,2,1.75
1809,27.73,27.82,23.88,18.91,21.36,21.9,9,69.0,82.0,240,1019.0,165.0,2,2,1,1.42
1810,27.18,27.08,23.68,20.24,20.99,21.81,9,88.0,88.0,50,1023.0,65.58,3,1,3,1.46
