,Months,MaxTemp,AvgTemp,MinTemp,MinHumid,MaxPressure,MaxSpeed,AvgSpeed,MinSpeed,AvgDirn,Temp6,Temp12,Temp20,Press12,WinSpeed6,WinSpeed12,minTemp_next
1819,9,31.09,25.5,20.83,48.0,1020.0,4,1.71,1,94.29,22.24,22.9,30.27,1018.0,1,1,20.08
1820,9,28.46,23.61,20.08,54.0,1019.0,4,1.5,1,68.75,20.9,20.45,28.17,1018.0,1,1,20.91
1821,9,30.64,24.83,20.91,62.0,1017.0,3,1.88,1,53.12,21.72,22.18,30.27,1015.0,2,2,21.54
1822,9,26.45,24.22,21.54,31.0,1012.0,6,2.33,1,88.33,24.3,22.91,25.63,1009.0,1,1,11.74
1823,9,20.33,16.91,11.74,39.0,1019.0,4,1.83,1,181.0,14.99,12.99,20.33,1019.0,1,1,12.99
1824,9,18.0,15.71,12.99,45.0,1026.0,5,2.54,1,153.75,15.4,13.83,17.36,1019.0,2,2,10.01
1825,10,20.54,14.95,10.01,37.0,1030.0,7,2.33,1,84.46,12.27,11.54,20.54,1030.0,3,2,9.36
1826,10,23.33,15.74,9.36,24.0,1031.0,3,1.62,1,139.83,11.32,10.99,23.33,1030.0,1,2,10.29
1827,10,21.53,15.88,10.29,43.0,1038.0,3,1.88,1,87.62,11.76,12.22,20.85,1037.0,2,2,10.84
1828,10,24.85,16.83,10.84,50.0,1036.0,4,2.38,1,168.38,11.98,12.14,24.85,1032.0,1,2,17.68
1829,10,28.66,22.24,17.68,44.0,1024.0,6,2.92,1,110.04,18.99,18.41,28.66,1022.0,3,1,19.61
1830,10,27.84,23.35,19.61,39.0,1021.0,6,2.33,1,187.04,21.08,19.84,27.5,1021.0,1,2,18.78
1831,10,27.58,22.66,18.78,54.0,1021.0,4,1.62,0,96.71,20.47,19.38,26.23,1021.0,1,2,23.25
1832,10,26.73,24.26,23.25,78.0,1019.0,6,3.21,1,97.96,23.46,23.84,26.33,1015.0,2,6,23.38
1833,10,25.08,23.97,23.38,78.0,1017.0,8,2.33,1,75.62,23.53,23.58,24.23,1016.0,1,4,19.62
1834,10,27.84,24.11,19.62,47.0,1020.0,4,2.25,1,202.5,23.01,20.22,27.84,1018.0,4,2,17.53
1835,10,24.16,20.58,17.53,56.0,1022.0,3,2.21,1,98.92,18.06,18.61,23.25,1021.0,2,3,14.08
1836,10,20.07,17.13,14.08,55.0,1029.0,6,3.62,2,54.12,17.33,14.54,18.33,1027.0,3,4,11.16
1837,10,19.07,15.08,11.16,55.0,1032.0,5,2.79,2,41.83,12.69,12.83,19.07,1031.0,4,2,17.18
1838,10,22.75,19.29,17.18,73.0,1037.0,4,1.71,1,54.67,17.33,17.67,22.75,1025.0,1,2,19.0
1839,10,23.16,20.76,19.0,73.0,1023.0,5,2.38,1,134.12,19.38,19.41,22.75,1019.0,1,2,13.36
1840,10,21.5,17.24,13.36,47.0,1020.0,6,3.33,1,171.62,21.0,15.67,14.5,1014.0,6,2,4.66
1841,10,16.0,10.22,4.66,33.0,1028.0,4,1.71,1,62.5,7.14,5.07,16.0,1028.0,2,3,7.91
1842,10,23.46,13.84,7.91,37.0,1028.0,4,1.92,1,119.54,8.37,8.53,23.46,1027.0,3,1,9.68
1843,10,23.09,15.87,9.68,35.0,1026.0,4,2.08,1,131.54,12.13,10.22,23.09,1025.0,2,3,11.6
1844,10,24.15,17.55,11.6,17.0,1023.0,6,2.62,1,175.71,13.98,13.65,24.15,1022.0,2,3,9.98
1845,10,26.63,17.03,9.98,22.0,1028.0,3,1.42,0,199.92,11.98,10.6,25.31,1027.0,2,0,9.57
1846,10,24.42,16.63,9.57,29.0,1031.0,3,1.46,1,158.58,12.44,10.83,24.33,1030.0,1,1,13.83
1847,10,23.67,18.5,13.83,63.0,1029.0,8,3.21,1,111.5,14.14,16.92,23.08,1027.0,2,1,20.91
1848,10,24.08,22.23,20.91,73.0,1018.0,10,5.5,2,142.38,21.91,22.08,22.54,1012.0,6,2,14.0
1849,10,20.75,17.77,14.0,42.0,1008.0,6,2.25,1,249.92,18.83,14.0,18.66,1007.0,2,2,11.69
1850,10,15.91,13.9,11.69,44.0,1009.0,4,2.5,1,171.75,14.0,12.16,13.75,1005.0,3,3,5.98
