,Actual,pred
201,19.5,19.134499087847267
202,19.0,19.57829649293062
203,20.2,19.38068914697702
204,19.4,19.82415773128412
205,20.4,19.323814886683785
206,20.5,19.807942793507667
207,20.0,20.09871141329407
208,18.6,19.91904379784884
209,20.0,19.134110198316282
210,20.0,19.68427904978335
211,19.5,19.88925741022391
212,19.5,19.36964003909494
213,20.5,20.31698750444349
214,20.8,20.635922020288575
215,21.4,20.774049844293685
216,20.5,20.81944166258166
217,20.5,20.280143762440925
218,20.5,20.08768892482728
219,20.2,20.38973804878673
220,20.8,20.36033017732324
221,20.8,20.676393828805416
222,20.4,20.747808272238903
223,20.4,20.538318724010864
224,22.2,20.432056017904667
225,21.2,21.35609838845102
226,21.4,21.1478296260758
227,21.5,21.249374486830327
228,20.5,21.49066264670793
229,20.5,20.744978287908342
230,20.6,20.47991748665103
231,20.8,20.400447287679686
232,20.8,20.489565176359655
233,20.8,20.53863914066834
234,20.5,20.515354496737988
235,21.0,20.43030273329028
236,21.2,20.691452524557388
237,20.4,20.87697535409816
238,20.0,20.35572591157959
239,20.0,19.892613470128996
240,19.5,19.648221887498234
241,19.6,19.89172476487864
242,20.0,19.94621912564071
243,21.2,20.246221671952302
244,20.0,20.656476755932996
245,20.2,19.880767930100475
246,20.5,19.622712337154415
247,20.4,20.055199904261276
248,19.5,20.37432804731253
249,20.3,19.95683620461384
250,20.5,20.318160418619797
251,20.4,20.352661147700655
252,20.5,20.29317963176858
253,19.8,20.182827693592312
254,21.0,19.913516098782804
255,20.0,20.421924347684783
256,20.2,20.064860703451536
257,20.5,20.078608093118117
258,20.5,20.109966860697096
259,20.2,20.069555754001378
260,20.5,20.114972455411102
261,20.5,20.413996837961932
262,20.2,20.324467551773292
263,20.2,20.241224234294858
264,20.0,19.84742207168785
265,20.0,20.0691248565113
266,22.4,20.28156697824791
267,19.4,21.389160947235492
268,20.8,19.993433108140945
269,20.5,20.326747802425448
270,18.5,20.311561922151977
271,19.0,18.9020819072494
272,19.2,18.793513126617682
273,19.2,19.12450776724373
274,19.0,19.319462154753992
275,19.0,19.236125910715405
276,19.0,18.999332124748147
277,19.0,19.020658639778137
278,19.0,19.01728200982667
279,18.5,19.017830488444762
280,19.4,18.632496442111687
281,19.0,18.794399445304165
282,18.5,18.573788623689953
283,18.0,18.481273827391465
284,18.5,18.30582213096488
285,17.8,18.609652597732033
286,19.5,18.16371140123557
287,17.5,18.90561651056648
288,17.0,17.982763820226506
289,18.6,17.44457843957589
290,14.4,14.970367840441176
291,13.7,14.620011251734434
292,12.2,14.050302640851337
293,12.5,13.022293655645417
294,14.0,12.768606027150428
295,15.2,13.589129639887867
296,15.5,14.467294918628667
297,14.0,14.87641796088064
298,13.5,14.259861417166551
299,12.0,13.92842859645553
300,13.5,13.016641130370397
301,13.6,13.353346317222318
302,12.4,13.41330933403339
303,12.0,12.74270316525588
304,11.5,12.305276773156212
305,12.4,12.012444511938352
306,11.8,12.32396025486216
307,9.6,11.9583647055268
308,9.0,10.560543451335795
309,8.8,9.743920226692625
310,9.2,9.385533489629298
311,8.0,9.438341387797674
312,8.0,8.706932796828111
313,9.5,8.418221607880266
314,10.4,9.155287458785326
315,10.0,9.976838305145565
316,6.5,8.396410644632128
317,7.0,7.410972655416975
318,7.8,7.334197306130213
319,8.0,7.724978517219747
320,9.1,7.92342260038493
321,8.0,8.49581969844866
322,7.6,8.212854183735532
323,9.2,7.889831416664511
324,8.0,8.733079160807234
325,7.5,8.344757516177019
326,7.4,7.901844057053545
327,6.0,7.756300773973316
328,6.0,6.910276426636041
329,7.5,6.402478965400739
330,6.5,7.008072003823193
331,8.0,6.7394483387427275
332,9.0,7.416288218260953
333,7.0,8.405294504746324
334,7.0,7.739079496854269
335,7.0,7.36132011996838
336,6.6,7.443435738801025
337,7.0,7.131999845280036
338,7.5,7.073246093531396
339,8.8,7.351901237542216
340,9.0,8.184297060477997
341,5.5,6.268548736842393
342,5.5,5.932614914379073
343,4.4,5.740493333853714
344,4.4,5.072815536554034
345,4.8,4.882787029961301
346,4.0,4.975326144834297
347,3.5,4.5171610787580745
348,4.6,3.9832745413928374
349,3.2,4.4255780236355795
350,3.0,3.8871901053999847
351,3.0,3.5145692008398406
352,2.5,3.442730276881606
353,7.0,2.8495817688046494
354,6.0,5.038705230698972
355,3.3,5.51680144718536
356,7.0,4.274605249614046
357,7.5,6.032129807388997
358,3.3,6.993320915403116
359,3.4,4.752715584525689
360,2.6,4.133840112277249
361,1.5,3.776951628345979
362,5.5,2.621811946340789
363,1.4,4.164429135443199
364,1.5,2.439574370947455
365,1.0,1.9345122993877892
366,0.5,1.7661595896267899
367,1.8,1.5271282375992963
368,6.5,1.8636420924756145
369,1.8,4.427764813073053
370,4.5,3.0506943610721926
371,3.0,3.9928506868185862
372,4.4,3.6266031288095495
373,4.4,4.303961944888271
374,2.9,4.125406064523152
375,2.9,3.642466511707634
376,2.2,3.408231023469285
377,2.9,3.0288396908257496
378,3.2,3.0814368780394212
379,3.4,3.162483886697636
380,3.8,3.3890152390724197
381,3.3,3.688313946379085
382,3.8,3.6457704706961587
383,5.0,3.9619454805348946
384,8.1,4.66142888953415
385,4.6,6.09132045951126
386,5.0,5.080284076833077
387,7.8,5.02782359097165
388,6.8,6.676767678154074
389,3.5,7.115782079903342
390,3.3,4.8588200172991645
391,1.9,4.371892607675336
392,3.2,3.4440818376308333
393,6.0,4.840797398194519
394,7.8,5.436589014666874
395,8.6,6.715506258532628
396,6.0,7.408162899207166
397,2.2,6.032100716235036
398,5.7,3.929117656216263
399,5.0,5.5823579090635915
400,5.7,5.878418448436903
401,7.7,5.980444588744661
402,9.6,6.684157906092822
403,8.4,8.418141078381417
404,4.6,8.175698846876916
405,4.8,6.08680874936421
406,7.5,5.804272400351651
407,5.2,6.955116587137038
408,6.8,6.171086173948378
